domain,protocol,packet_count,avg_packet_size,flow_duration,packets_per_second,bytes_per_second,category
brave.com,HTTPS,11,225.5,0.747,14.7,3321.6,other
brave.com,HTTPS,7,310.9,0.771,9.1,2821.1,other
whatsapp.com,TCP,13,272.3,0.887,14.7,3989.9,messaging
brave.com,HTTPS,21,521.9,10.788,1.9,1015.9,other
whatsapp.com,HTTPS,315,84.3,16.111,19.6,1649.0,messaging
brave.com,HTTPS,15,223.5,14.777,1.0,226.9,other
whatsapp.com,HTTPS,14,251.4,1.919,7.3,1834.0,messaging
whatsapp.com,HTTPS,22,205.5,7.577,2.9,596.8,messaging
whatsapp.com,HTTPS,150,187.4,17.013,8.8,1651.9,messaging
brave.com,HTTPS,11,232.4,0.068,161.5,37530.6,other
brave.com,HTTPS,11,226.5,0.069,159.0,36021.5,other
brave.com,HTTPS,11,232.5,0.083,132.5,30802.1,other
xnxx.com,HTTPS,8,291.1,1.697,4.7,1372.2,adult
brave.com,HTTPS,53,416.6,20.064,2.6,1100.5,other
whatsapp.com,HTTPS,20,521.0,65.069,0.3,160.1,messaging
ubuntu.com,HTTPS,6,84.0,0.454,13.2,1109.3,other
snapcraft.io,HTTPS,25,453.1,5.883,4.2,1925.4,other
brave.com,HTTPS,11,241.8,63.784,0.2,41.7,other
brave.com,HTTPS,10,250.0,63.160,0.2,39.6,other
brave-http-only.com,HTTPS,7,110.7,78.608,0.1,9.9,other
brave-http-only.com,TCP,5,67.6,78.366,0.1,4.3,unknown
whatsapp.com,HTTPS,69,129.7,111.373,0.6,80.4,messaging
anthropic.com,HTTPS,9,274.9,0.084,107.4,29525.4,ai_tool
anthropic.com,HTTPS,9,271.3,0.082,110.2,29910.3,ai_tool
anthropic.com,HTTPS,9,274.9,0.084,106.9,29397.7,ai_tool
anthropic.com,HTTPS,9,264.2,0.084,106.9,28244.0,ai_tool
anthropic.com,HTTPS,9,267.8,0.082,109.2,29240.6,ai_tool
google.com,HTTPS,10,244.2,0.064,157.0,38335.2,search
intercomcdn.com,HTTPS,12,215.7,0.063,190.3,41041.8,other
google.com,HTTPS,15,232.7,3.700,4.1,943.3,search
claude.com,HTTPS,62,126.5,6.536,9.5,1199.5,ai_tool
claude.com,HTTPS,294,106.8,6.529,45.0,4807.4,ai_tool
sanity.io,HTTPS,113,103.0,6.058,18.7,1920.7,other
google.com,HTTPS,42,124.3,3.930,10.7,1328.7,search
intercomcdn.com,HTTPS,53,112.5,2.858,18.5,2085.6,other
brave.com,HTTPS,43,130.2,116.475,0.4,48.1,other
google.com,HTTPS,16,222.2,3.698,4.3,961.2,search
intercom.io,HTTPS,15,222.0,3.000,5.0,1110.0,other
anthropic.com,HTTPS,21,230.9,3.544,5.9,1367.8,ai_tool
brave.com,HTTPS,37,143.9,115.994,0.3,45.9,other
google.com,HTTPS,16,226.8,3.781,4.2,959.7,search
google.com,HTTPS,51,122.3,32.110,1.6,194.2,search
xhamster.desi,HTTPS,16,226.6,66.522,0.2,54.5,adult
claude.ai,HTTPS,82,323.4,7.846,10.5,3380.1,ai_tool
claude.com,HTTPS,12,264.7,3.867,3.1,821.3,ai_tool
githubcopilot.com,HTTPS,17,267.7,121.090,0.1,37.6,ai_tool
brave.com,HTTPS,11,235.3,78.710,0.1,32.9,other
brave.com,HTTPS,11,235.3,78.712,0.1,32.9,other
honeycomb.io,HTTPS,11,238.0,65.278,0.2,40.1,other
honeycomb.io,HTTPS,29,620.8,69.806,0.4,257.9,other
perplexity.ai,HTTPS,12,313.2,10.725,1.1,350.4,ai_tool
perplexity.ai,HTTPS,12,353.6,1.151,10.4,3687.1,ai_tool
perplexity.ai,HTTPS,11,359.2,10.082,1.1,391.9,ai_tool
microsoft.com,HTTPS,55,211.5,25.904,2.1,449.0,social_media
intercom.io,HTTPS,23,170.2,240.158,0.1,16.3,other
intercomcdn.com,HTTPS,42,123.2,240.088,0.2,21.6,other
amazonaws.com,HTTPS,21,186.7,27.983,0.8,140.1,ecommerce
whatsapp.com,HTTPS,20,334.6,65.127,0.3,102.7,messaging
